,m,n,pyearth,earth,time,forward_iterations,rsq
657,10000,100,1,0,6.31061506271,3,1.0
658,10000,100,0,1,5.671,3,0.995245142157
659,10000,100,1,0,6.30255794525,3,1.0
660,100,150,0,1,0.18,4,0.998569902253
661,100,150,1,0,0.287896871567,3,1.0
662,100,150,0,1,0.157,5,0.996893830077
663,100,150,1,0,0.285230875015,3,1.0
664,100,150,0,1,0.145,3,0.998287220207
665,100,150,1,0,0.289779901505,3,1.0
666,100,150,0,1,0.134,3,0.995802535701
667,100,150,1,0,0.282890796661,3,1.0
668,100,150,0,1,0.15,3,0.997514747623
669,100,150,1,0,0.285084009171,3,1.0
670,200,150,0,1,0.208,4,0.997665803527
671,200,150,1,0,0.365350008011,3,1.0
672,200,150,0,1,0.166,2,0.995685977179
673,200,150,1,0,0.34798002243,3,1.0
674,200,150,0,1,0.181,3,0.993794277504
675,200,150,1,0,0.344997882843,3,1.0
676,200,150,0,1,0.214,4,0.998091189743
677,200,150,1,0,0.344897031784,3,1.0
678,200,150,0,1,0.198,3,0.995953647135
679,200,150,1,0,0.351393938065,3,1.0
680,300,150,0,1,0.318,5,0.99825368788
681,300,150,1,0,0.420719146729,3,1.0
682,300,150,0,1,0.241,3,0.994992970259
683,300,150,1,0,0.418682098389,3,1.0
684,300,150,0,1,0.207,2,0.993817911696
685,300,150,1,0,0.414132118225,3,1.0
686,300,150,0,1,0.311,5,0.998373563315
687,300,150,1,0,0.416816949844,3,1.0
688,300,150,0,1,0.206,2,0.994386324883
689,300,150,1,0,0.413167953491,3,1.0
690,400,150,0,1,0.324,3,0.997347210138
691,400,150,1,0,0.478583097458,3,1.0
692,400,150,0,1,0.388,5,0.997927636735
693,400,150,1,0,0.479452848434,3,1.0
694,400,150,0,1,0.396,4,0.998600878676
695,400,150,1,0,0.476843118668,3,1.0
696,400,150,0,1,0.338,4,0.995593142823
697,400,150,1,0,0.491930961609,3,1.0
698,400,150,0,1,0.41,5,0.997894711905
699,400,150,1,0,0.487223148346,3,1.0
700,500,150,0,1,0.325,3,0.996385659631
701,500,150,1,0,0.543354988098,3,1.0
702,500,150,0,1,0.333,3,0.994920112206
703,500,150,1,0,0.555036067963,3,1.0
704,500,150,0,1,0.338,3,0.994346905062
705,500,150,1,0,0.55801987648,3,1.0
706,500,150,0,1,0.45,4,0.998911824413
707,500,150,1,0,0.550660848618,3,1.0
