,m,n,pyearth,earth,time,forward_iterations,rsq
444,200,1000,0,1,1.827,5,0.998267706999
445,200,1000,1,0,5.41372299194,3,1.0
446,200,1000,0,1,1.761,5,0.998617815662
447,200,1000,1,0,5.70856380463,3,1.0
448,300,1000,0,1,1.791,3,0.994304384902
449,300,1000,1,0,7.99568390846,3,1.0
450,300,1000,0,1,2.571,5,0.998258470642
451,300,1000,1,0,8.30964112282,3,1.0
452,400,1000,0,1,2.905,5,0.998679093417
453,400,1000,1,0,11.8436789513,3,1.0
454,400,1000,0,1,1.862,2,0.99527543296
455,400,1000,1,0,11.7616779804,3,1.0
456,500,1000,0,1,2.885,4,0.997042220589
457,500,1000,1,0,18.7996327877,3,1.0
458,500,1000,0,1,2.221,2,0.993617270989
459,500,1000,1,0,16.3442969322,3,1.0
460,1000,1000,0,1,4.031,3,0.994219545774
461,1000,1000,1,0,34.6691360474,3,1.0
462,1000,1000,0,1,5.722,4,0.99835980406
463,1000,1000,1,0,34.4943540096,3,1.0
464,1500,1000,0,1,5.582,3,0.99421381044
465,1500,1000,1,0,53.1598567963,3,1.0
466,1500,1000,0,1,5.553,3,0.994457678956
467,1500,1000,1,0,56.5941138268,3,1.0
468,2000,1000,0,1,11.329,4,0.997682493341
469,2000,1000,1,0,70.2275218964,3,1.0
470,2000,1000,0,1,11.105,4,0.998072934469
471,2000,1000,1,0,70.4406740665,3,1.0
472,2500,1000,0,1,16.072,4,0.998087111456
473,2500,1000,1,0,88.0790979862,3,1.0
474,2500,1000,0,1,11.242,3,0.995970758499
475,2500,1000,1,0,92.9918088913,3,1.0
476,5000,1000,0,1,26.752,3,0.994268768422
477,5000,1000,1,0,187.357331991,3,1.0
478,5000,1000,0,1,41.697,3,0.997076630811
479,5000,1000,1,0,182.315799952,3,1.0
480,10000,1000,0,1,89.01,3,0.996835092711
481,10000,1000,1,0,363.700484037,3,1.0
482,10000,1000,0,1,135.711,3,0.997197729409
483,10000,1000,1,0,366.236670017,3,1.0
